created_at,display_name,followers,friends,handler_name,likes,retweets,text,user_description,user_location
2019-04-01 12:16:45,Akram Mansuri,1168.0,1232.0,AkramMa15452302,0.0,37.0,"RT @_lokeshsharma: कैमरे पर चुनावी फसल काटती भाजपा की अदाकारा!!
#ModiMatBanao 
#AprilFools 
#AprilFoolDay https://t.co/Vfp6WXcfbs","Assembly coordinator I.t.cell congress committee #kapasan district #Chittorgarh 
@RahulGandhi @Sachinpilot",kapasan Rajasthan 
2019-04-01 12:16:44,Stranger,22.0,252.0,Strange7862,0.0,229.0,"RT @RuchiraC: महिला सुरक्षा पर देश को 'मोदी' बनाने वालों, जनता माफ नहीं करेगी! #ModiMatBanao https://t.co/8b3yvVBk36",,
2019-04-01 12:16:43,Arshad,97.0,517.0,arshirsh,0.0,277.0,"RT @satyajeettambe: I told my daughter , I will take you to Disneyland next Sunday ... 
She said "" #ModiMatBanao baba "" ! 

बच्चा बच्चा जान…","""ME"" ""MYSELF"" & I am proud to be INDIAN","Mumbai, India"
2019-04-01 12:16:39,𝐕𝐢𝐜𝐤𝐲,1875.0,216.0,vkyphobia,0.0,91.0,"RT @TS_SinghDeo: Fooling the nation for 5 continuous years, on almost all issues of governance, and going a step further by claiming unjust…","we were нυмanѕ υnтιl race dιѕconnecтed υѕ, relιgιon deғιned вy people ѕeparaтed υѕ,and wealтн claѕѕιғιed υѕ.
вeιng нυмan ιѕ gιven вυт ĸeepιng нυмanιтy ιѕ cнoιce",India
2019-04-01 12:16:37,Sandeep Narayan,224.0,320.0,sandeep_msn,0.0,0.0,"घोर आश्चर्य!!!!!  दिन राज ""उज्ज़वला योजना"" के गुणगान करने के बाद भी यहाँ गैस सिलेंडर नहीं  दिख रहा है... क्या इस मा… https://t.co/IFhIuddHjy",Nehruvian | State Research Coordinator @IYCKarnataka | State SM Coordinator @IYCKarnataka,"Bengaluru, India"
2019-04-01 12:16:36,COLONELS AMBROSIA,60.0,72.0,COLONELAMBROSIA,0.0,530.0,"RT @Pawankhera: आज कल मोदी जी के समर्थक बड़े परेशान हैं। जहाँ वोट माँगने जाते हैं, वहीं वोटर बोल देता है “भाई यहाँ से जाओ, हमें फिर से #Mod…","Colonel turned chef/food critic/ blogger/reviewer - Food without borders. Three things that doesn't have borders- Food, Music and Love🧀🎼❤️",
2019-04-01 12:16:36,( हम हैं थानेदार ) Dilshad Alam,50.0,371.0,Dilshad5123,0.0,114.0,"RT @Yogita_singh11: मेरे हिसाब से @kanhaiyakumar का सपोर्ट उतना ही जरूरी है जितना इस नफरत भरी सरकार को हराना

क्योकि कन्हैया अगर हारा तो हर…",أَشْهَدُ أَنْ لَا إِلَهَ إلَّا اللهُ وَحْدَهُ لَا شَرِيكَ لَهُ، وَأَشْهَدُ أَنَّ مُحَمَّداً عَبْدُهُ وَرَسُولُهُ,"Al Farwaniya, Kuwait"
2019-04-01 12:16:33,Abbas ♏,387.0,276.0,abbashashmi,0.0,25.0,RT @amohit17: @RahulGandhi is contesting from a seat which has 100% Indians! #ModiMatBanao https://t.co/dSScQaVCnl,"Humanity, Peace, Hope for better world.
Dogs allowed but not 'Sanghis'.

RTs not endorsements.",India
2019-04-01 12:16:33,Siraj,22.0,58.0,SirajG360,0.0,1083.0,"RT @INCIndia: Black money is still missing, Nirav Modi has still not been brought to justice &amp; the youth are still looking for jobs. The on…",,
2019-04-01 12:16:32,Ishwar Chandra shukla,223.0,189.0,IshwarC85687777,0.0,530.0,"RT @Pawankhera: आज कल मोदी जी के समर्थक बड़े परेशान हैं। जहाँ वोट माँगने जाते हैं, वहीं वोटर बोल देता है “भाई यहाँ से जाओ, हमें फिर से #Mod…","Advocate, Ex MLA, Naugarh.  Vice President- UP Congress. AICC MEMBER","Naugarh, India"
